Year,Allegheny_County,Westmoreland_County,Pittsburgh
2017,12473146,3129505,12754743
2016,12507166,3143264,12753055
2015,12547317,3179262,12766552
2014,12648819,3535692,13005764
2013,12911124,3601281,13338643
2012,12566301,3468423,13027195
2011,14917962,4155059,15037738
2010,17856267,4959562,18038480
2009,16442130,4549898,16682767
2008,16166176,4411573,16490923
2007,16716641,4552134,17158500
2006,16558555,4520681,17163345
2005,18357147,5011268,19141941
2004,19327000,5282000,20290000
2003,19447000,5268000,20645000
2002,19490000,5426000,21875000
